cohort,h1,seed,trigger,bb_candidates,bb_hit_trigger,gt_trigger_error,ordinary_accuracy,bb_f0,bb_f1,bb_f2,bb_f3,bb_f4,wb_f0,wb_f1,wb_f2,wb_f3,wb_f4,wb_f5
contextual,1,31000,27,30 27 20 25,1,0.16015625,1.0,0.328125,0.2109375,0.07117526233706484,0.140625,0.0,2.7247793674468994,0.22706495225429535,0.7530892491340637,2.7247793674468994,1.0,2.7247793674468994
contextual,1,31001,22,20 30 24 27,0,0.16015625,1.0,0.171875,0.12890625,0.03382911733532964,0.078125,0.0,2.976504325866699,0.248042032122612,0.8226622939109802,2.976504325866699,1.0,2.976504325866699
contextual,1,31002,29,28 20 25 30,0,0.1640625,1.0,0.3125,0.203125,0.08414320011147662,0.09375,0.0,3.944786548614502,0.3287322223186493,1.090281367301941,3.944786548614502,1.0,3.944786548614502
contextual,1,31003,24,20 31 28 22,0,0.1640625,1.0,0.25,0.1640625,0.05122998847110938,0.125,0.0,2.6873700618743896,0.22394751012325287,0.742749810218811,2.6873700618743896,1.0,2.6873700618743896
contextual,1,31004,31,22 26 21 29,0,0.142578125,1.0,0.21875,0.171875,0.048159484398195125,0.109375,0.0,2.917971134185791,0.24316425621509552,0.806484580039978,2.917971134185791,1.0,2.917971134185791
contextual,1,31005,26,20 28 23 31,0,0.181640625,1.0,0.25,0.17578125,0.04332240822816179,0.140625,0.0,1.5843522548675537,0.13202935457229614,0.4378918409347534,1.5843522548675537,1.0,1.5843522548675537
weak,0,50000,31,24 31 28 29,1,0.177734375,1.0,0.21875,0.13671875,0.06477782793662891,0.046875,0.0,1.0587875843048096,0.08823230117559433,0.29263344407081604,1.0587875843048096,1.0,1.0587875843048096
weak,0,50001,26,29 24 25 30,0,0.166015625,1.0,0.28125,0.2109375,0.04621937330546575,0.15625,0.0,1.3090420961380005,0.10908684134483337,0.36180010437965393,1.3090420961380005,1.0,1.3090420961380005
weak,0,50002,21,23 20 30 26,0,0.150390625,1.0,0.21875,0.17578125,0.04863242030464349,0.09375,0.0,1.2077800035476685,0.10064833611249924,0.33381274342536926,1.2077800035476685,1.0,1.2077800035476685
weak,0,50003,28,25 27 28 30,1,0.14453125,1.0,0.28125,0.19921875,0.057807221042768524,0.125,0.0,0.5528233051300049,0.04606860876083374,0.152792289853096,0.5528233051300049,1.0,0.5528233051300049
weak,0,50004,23,26 21 20 29,0,0.13671875,1.0,0.125,0.109375,0.011048543456039806,0.09375,0.0,1.1180248260498047,0.09316873550415039,0.3090057671070099,1.1180248260498047,1.0,1.1180248260498047
weak,0,50005,30,28 23 27 22,0,0.17578125,1.0,0.1875,0.12890625,0.040406564190580474,0.078125,0.0,1.764623761177063,0.14705197513103485,0.4877162277698517,1.764623761177063,1.0,1.764623761177063
weak,1,51000,23,22 28 26 27,0,0.162109375,1.0,0.15625,0.13671875,0.01295556558732578,0.125,0.0,1.9906182289123535,0.1658848524093628,0.550177812576294,1.9906182289123535,1.0,1.9906182289123535
weak,1,51001,30,29 22 26 24,0,0.154296875,1.0,0.140625,0.12109375,0.02029747040119778,0.09375,0.0,2.161142587661743,0.18009521067142487,0.5973082780838013,2.161142587661743,1.0,2.161142587661743
weak,1,51002,25,23 30 22 31,0,0.287109375,1.0,0.265625,0.18359375,0.06754537681949446,0.078125,0.0,2.650641679763794,0.22088681161403656,0.7325986623764038,2.650641679763794,1.0,2.650641679763794
weak,1,51003,20,27 23 31 29,0,0.162109375,1.0,0.203125,0.171875,0.024705294220065465,0.140625,0.0,3.269150733947754,0.2724292278289795,0.9035455584526062,3.269150733947754,1.0,3.269150733947754
weak,1,51004,27,28 24 23 30,0,0.115234375,1.0,0.203125,0.1640625,0.0234375,0.140625,0.0,3.12971568107605,0.26080963015556335,0.865007758140564,3.12971568107605,1.0,3.12971568107605
weak,1,51005,22,24 31 20 26,0,0.14453125,1.0,0.203125,0.17578125,0.023109686652732876,0.140625,0.0,3.085381031036377,0.25711509585380554,0.8527541756629944,3.085381031036377,1.0,3.085381031036377
